,movieId,title,genres,year,imdbId,tmdbId,Children,Action,Mystery,Film-Noir,Musical,Sci-Fi,Adventure,Animation,Documentary,Romance,(no genres listed),IMAX,Horror,Western,War,Comedy,Drama,Thriller,Crime,Fantasy,count,mean,idmb_rank
0,1,Toy Story (1995),Adventure;Animation;Children;Comedy;Fantasy,1995,114709,862.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2569,3.959322693655119,3.9543586567589024
1,2,Jumanji (1995),Adventure;Children;Fantasy,1995,113497,8844.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1155,3.2683982683982684,3.275002657313406
2,3,Grumpier Old Men (1995),Comedy;Romance,1995,113228,15602.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,685,3.1868613138686133,3.2012281803026386
3,4,Waiting to Exhale (1995),Comedy;Drama;Romance,1995,114885,31357.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,138,3.0,3.0945127911689676
4,5,Father of the Bride Part II (1995),Comedy,1995,113041,11862.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,657,3.143835616438356,3.1606668834299656
5,6,Heat (1995),Action;Crime;Thriller,1995,113277,949.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1260,3.8365079365079366,3.829362906136734
6,7,Sabrina (1995),Comedy;Romance,1995,114319,11860.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,700,3.3814285714285712,3.3875043135840905
7,8,Tom and Huck (1995),Adventure;Children,1995,112302,45325.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3.3525641025641026,3.401649527003579
8,9,Sudden Death (1995),Action,1995,114576,9091.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,3.017326732673267,3.083526503949942
9,10,GoldenEye (1995),Action;Adventure;Thriller,1995,113189,710.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1548,3.4270025839793283,3.4289468624311703
10,11,"American President, The (1995)",Comedy;Drama;Romance,1995,112346,9087.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,898,3.7121380846325165,3.706226453573692
11,12,Dracula: Dead and Loving It (1995),Comedy;Horror,1995,112896,12110.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,201,2.6616915422885574,2.7743642810233182
12,13,Balto (1995),Adventure;Animation;Children,1995,112453,21032.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,78,3.2371794871794872,3.3183161936702454
13,14,Nixon (1995),Drama,1995,113987,10858.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,332,3.4126506024096384,3.422315328498305
14,15,Cutthroat Island (1995),Action;Adventure;Romance,1995,112760,1408.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,159,2.710691823899371,2.8406251265417275
15,16,Casino (1995),Crime;Drama,1995,112641,524.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,964,3.849066390041494,3.8394146367368074
